Date,Value,Anomaly
193409,2.87,0.38
193410,1.69,-0.47
193411,3,0.77
193412,1.92,-0.43
193501,2.4,0.09
193502,1.7,-0.43
193503,2.74,0.23
193504,2.73,0.21
193505,3.72,0.81
193506,3.19,0.26
193507,2.65,-0.13
193508,2.46,-0.16
193509,2.46,-0.03
193510,1.62,-0.54
193511,2.04,-0.19
193512,1.77,-0.58
193601,2.88,0.57
193602,2.62,0.49
193603,2.1,-0.41
193604,2,-0.52
193605,2.25,-0.66
193606,1.91,-1.02
193607,2.31,-0.47
193608,2.21,-0.41
193609,2.99,0.5
193610,2.08,-0.08
193611,1.14,-1.09
193612,2.79,0.44
193701,3.65,1.34
193702,2.22,0.09
193703,2.15,-0.36
193704,2.68,0.16
193705,2.33,-0.58
193706,3.11,0.18
193707,2.62,-0.16
193708,2.55,-0.07
193709,2,-0.49
193710,2.61,0.45
193711,2.16,-0.07
193712,2.43,0.08
193801,2.11,-0.2
193802,2.41,0.28
193803,3.3,0.79
193804,2.69,0.17
193805,3.24,0.33
193806,3.12,0.19
193807,3.34,0.56
193808,2.06,-0.56
193809,2.45,-0.04
193810,1.3,-0.86
193811,2.01,-0.22
193812,1.71,-0.64
193901,2.49,0.18
193902,2.93,0.8
193903,2.07,-0.44
193904,2.16,-0.36
193905,2.2,-0.71
193906,3.32,0.39
193907,2.36,-0.42
193908,2.71,0.09
193909,1.62,-0.87
193910,1.6,-0.56
193911,0.99,-1.24
193912,1.88,-0.47
194001,1.93,-0.38
194002,2.98,0.85
194003,2.27,-0.24
194004,3.04,0.52
194005,2.22,-0.69
194006,2.98,0.05
194007,2.5,-0.28
194008,2.97,0.35
194009,2,-0.49
194010,1.77,-0.39
194011,2.91,0.68
194012,2.84,0.49
194101,2.08,-0.23
194102,1.77,-0.36
194103,2.09,-0.42
194104,3.01,0.49
194105,2.67,-0.24
194106,3.8,0.87
194107,3.15,0.37
194108,2.78,0.16
194109,3.16,0.67
194110,3.77,1.61
194111,1.72,-0.51
194112,2.81,0.46
194201,1.58,-0.73
194202,2,-0.13
194203,2.46,-0.05
194204,2.84,0.32
194205,3.16,0.25
194206,3.46,0.53
